device_id,device_type,os,brand,screen_size_inch,supports_hd
1,Tablet,macOS,Apple,60.4,True
2,Mobile,Windows,HP,8.1,True
3,Tablet,iOS,LG,42.3,True
4,Smart TV,Android,Apple,61.7,True
5,Smart TV,Android,Samsung,57.2,False
6,Tablet,Windows,Dell,64.7,False
7,Mobile,Windows,LG,26.3,False
8,Mobile,iOS,HP,19.8,False
9,Mobile,Android,HP,49.7,False
10,Tablet,macOS,HP,62.9,True
11,Laptop,Linux,Samsung,25.4,False
12,Tablet,iOS,Samsung,37.0,False
13,Tablet,macOS,Apple,61.8,False
14,Smart TV,iOS,Dell,53.8,False
15,Tablet,Linux,Sony,29.9,False
16,Smart TV,macOS,Sony,34.9,True
17,Smart TV,Windows,Dell,62.5,False
18,Tablet,iOS,Sony,41.5,True
19,Mobile,macOS,Dell,34.4,False
20,Smart TV,Android,HP,44.8,False
21,Tablet,macOS,Dell,6.2,False
22,Smart TV,macOS,Apple,43.1,False
23,Tablet,Android,HP,38.2,True
24,Laptop,iOS,Apple,36.9,True
25,Laptop,iOS,LG,40.9,False
26,Mobile,Android,Apple,61.6,True
27,Laptop,Linux,Samsung,50.1,False
28,Laptop,Windows,Apple,47.4,True
29,Mobile,iOS,Samsung,31.2,False
30,Tablet,macOS,Apple,26.4,False
31,Tablet,iOS,Sony,8.4,True
32,Tablet,Linux,Sony,54.6,True
33,Tablet,Linux,LG,13.3,True
34,Smart TV,Android,Sony,33.8,False
35,Tablet,iOS,Sony,22.0,False
36,Laptop,iOS,Apple,37.2,True
37,Mobile,iOS,Dell,60.9,False
38,Smart TV,iOS,HP,16.4,True
39,Tablet,iOS,HP,40.7,True
40,Laptop,Linux,Dell,57.4,False
41,Laptop,Android,LG,39.2,False
42,Laptop,Linux,Samsung,54.5,True
43,Tablet,iOS,Samsung,21.0,False
44,Smart TV,Windows,LG,41.0,False
45,Mobile,Android,HP,62.4,True
46,Smart TV,Windows,Dell,61.7,True
47,Smart TV,Android,Dell,40.2,False
48,Tablet,Windows,LG,63.5,True
49,Laptop,Android,HP,51.0,True
50,Smart TV,Android,Apple,13.6,False
51,Smart TV,Windows,Apple,17.4,True
52,Tablet,iOS,Samsung,33.4,False
53,Mobile,Linux,HP,20.0,True
54,Mobile,iOS,Apple,37.9,False
55,Mobile,Windows,Samsung,12.6,True
56,Laptop,Linux,Samsung,25.1,False
57,Mobile,Android,LG,25.9,True
58,Laptop,macOS,HP,41.2,True
59,Laptop,macOS,LG,12.4,True
60,Tablet,Android,LG,55.6,False
61,Smart TV,iOS,Samsung,32.8,True
62,Mobile,macOS,HP,5.7,False
63,Laptop,Windows,Samsung,14.2,True
64,Smart TV,Android,Apple,40.7,False
65,Mobile,macOS,HP,58.3,False
66,Laptop,Linux,Dell,58.9,False
67,Smart TV,Android,Samsung,11.0,True
68,Laptop,iOS,LG,60.5,False
69,Mobile,macOS,LG,58.9,False
70,Tablet,Linux,Sony,12.6,False
71,Smart TV,Linux,Samsung,44.9,False
72,Laptop,macOS,Dell,29.1,False
73,Tablet,Windows,Dell,61.4,False
74,Laptop,Linux,LG,37.7,False
75,Smart TV,Linux,LG,44.2,False
76,Laptop,Linux,Sony,25.2,True
77,Mobile,Linux,Apple,27.6,False
78,Mobile,iOS,Samsung,28.9,False
79,Mobile,Windows,Apple,19.9,False
80,Tablet,Windows,Apple,30.9,False
81,Laptop,Android,LG,42.7,True
82,Laptop,Android,Apple,19.6,True
83,Smart TV,Windows,Apple,34.8,False
84,Tablet,Android,LG,13.5,False
85,Tablet,Linux,LG,50.4,True
86,Smart TV,Windows,Samsung,35.0,True
87,Tablet,Windows,Dell,22.6,False
88,Smart TV,Android,Dell,15.3,True
89,Mobile,Windows,HP,29.3,False
90,Tablet,Windows,Samsung,11.2,True
91,Mobile,iOS,Sony,58.6,False
92,Tablet,iOS,Samsung,63.5,False
93,Mobile,Android,LG,42.1,False
94,Laptop,iOS,Dell,27.4,True
95,Laptop,Android,Dell,37.8,True
96,Tablet,Android,Apple,26.3,False
97,Smart TV,macOS,Sony,64.4,False
98,Mobile,Android,Samsung,10.3,False
99,Smart TV,Android,HP,52.5,True
100,Laptop,Android,LG,27.3,False
101,Mobile,macOS,Samsung,5.5,True
102,Laptop,iOS,LG,13.0,True
103,Laptop,Linux,HP,15.7,True
104,Mobile,macOS,LG,33.1,True
105,Laptop,macOS,HP,15.9,False
106,Mobile,macOS,Samsung,44.2,True
107,Smart TV,Linux,HP,39.9,True
108,Smart TV,Linux,Dell,20.2,False
109,Tablet,Linux,Samsung,27.2,False
110,Tablet,Windows,HP,62.0,True
111,Smart TV,macOS,Sony,31.0,True
112,Tablet,macOS,Sony,55.0,True
113,Smart TV,Linux,Apple,29.4,False
114,Tablet,iOS,Sony,18.7,True
115,Tablet,Windows,Sony,38.5,True
116,Smart TV,iOS,HP,32.7,False
117,Laptop,Android,Dell,59.9,True
118,Laptop,Windows,Apple,59.1,True
119,Smart TV,Android,Samsung,10.5,False
120,Mobile,Linux,Samsung,29.8,False
121,Tablet,iOS,Apple,32.5,True
122,Smart TV,macOS,Dell,24.8,True
123,Smart TV,Linux,Sony,18.2,True
124,Laptop,Android,Sony,20.8,True
125,Laptop,Android,HP,20.9,True
126,Smart TV,macOS,Sony,11.0,True
127,Tablet,macOS,HP,15.1,True
128,Smart TV,Windows,Sony,50.9,False
129,Mobile,Windows,Sony,19.3,True
130,Smart TV,Android,Apple,59.6,False
131,Smart TV,Android,Dell,39.0,False
132,Laptop,Windows,Apple,40.2,True
133,Laptop,macOS,Samsung,26.9,False
