movie_id,title,genre,release_year,duration_mins,language,age_rating,avg_rating
1,Government,Drama,1981,154,Spanish,PG,1.89
2,Glass show,Drama,2023,154,German,G,3.36
3,Themselves,Action,1981,71,Hindi,PG,3.02
4,Treat,Action,2015,85,Japanese,NC-17,2.68
5,Including all,Documentary,2017,95,Korean,G,4.04
6,Effort agency,Comedy,2024,114,Spanish,PG-13,1.62
7,Will majority,Romance,1986,71,French,G,2.44
8,Both push believe,Romance,2018,93,Korean,G,3.92
9,Pass open place,Drama,2004,70,German,PG-13,4.32
10,Detail rock sport,Romance,2016,84,Japanese,G,1.18
11,No hospital,Horror,1998,70,Korean,PG,4.47
12,Safe go,Thriller,1997,118,Japanese,PG-13,1.65
13,Provide away success should,Romance,1993,145,Spanish,G,3.44
14,Control,Comedy,2014,153,Hindi,PG,2.85
15,Exist economic claim south,Sci-Fi,2020,148,German,PG,3.74
16,Institution speech quite,Action,1994,165,English,PG-13,2.6
17,Guy similar way,Drama,1993,176,German,PG-13,1.85
18,City deep positive,Documentary,2005,173,Japanese,R,1.57
19,Team drop,Comedy,1995,155,German,NC-17,2.05
20,Drop,Thriller,2017,111,Spanish,PG,4.99
21,Country customer,Comedy,2012,123,English,G,4.44
22,Age mother site,Comedy,2020,80,Korean,R,3.39
23,Media it red,Thriller,2004,136,French,NC-17,2.01
24,Ball like yourself,Action,2023,152,English,NC-17,4.0
25,Medical rise,Romance,1987,97,French,PG,2.81
26,Forget nothing,Sci-Fi,2012,157,Hindi,NC-17,4.65
27,Interesting specific there,Sci-Fi,2020,124,German,PG,1.61
28,Floor,Comedy,2014,159,German,G,3.4
29,Support anything consumer,Documentary,1981,74,Spanish,PG-13,1.96
30,Attention action,Horror,2016,70,English,R,4.26
31,Learn forward affect,Comedy,1988,144,French,NC-17,1.66
32,Security his result,Thriller,1993,178,German,PG,3.85
33,Act yet,Thriller,2022,143,Spanish,R,4.6
34,Something bring particularly,Documentary,1987,91,Hindi,G,2.35
35,Real level manage,Horror,2017,88,English,G,3.83
36,Recently health general,Action,1994,68,English,PG-13,1.28
37,Spend data,Horror,1997,145,French,PG,3.16
38,Idea fact teacher,Documentary,1995,160,French,R,1.76
39,Game along against,Drama,2022,115,Spanish,R,2.64
40,Sell morning so,Action,2023,143,Japanese,G,1.24
41,Culture degree,Romance,1986,91,Hindi,PG,3.15
42,Four young ask,Comedy,2007,83,Spanish,R,2.0
43,Power might,Drama,2008,163,Korean,NC-17,1.39
44,Actually research,Action,1985,178,Korean,PG,1.67
45,Middle,Documentary,2010,87,Korean,R,4.61
46,Order,Comedy,2004,60,French,PG-13,4.71
47,Likely president,Documentary,1998,114,Japanese,NC-17,3.65
48,Lead end,Documentary,1989,84,Spanish,PG,4.87
49,Economic training candidate,Action,2000,67,English,NC-17,2.91
50,Fact,Comedy,1983,125,English,PG,1.27
51,However hundred high,Drama,2023,170,Hindi,R,1.48
52,Society draw,Horror,2017,136,English,NC-17,1.33
53,Every benefit,Romance,1996,86,Japanese,PG-13,1.95
54,Eye former reach,Thriller,1988,145,Japanese,PG-13,2.83
55,Watch fly,Drama,1980,118,German,NC-17,4.98
56,Next mission,Drama,2014,87,German,PG-13,1.53
57,Strategy first today,Romance,1984,172,Hindi,PG-13,2.14
58,According four suffer,Documentary,2014,150,Spanish,NC-17,4.94
59,Gas,Action,2022,164,German,PG-13,4.73
60,Travel fund no,Drama,1988,93,English,G,3.97
61,Probably break exist,Comedy,1997,96,German,PG,3.87
62,Art indeed resource,Horror,2023,141,Korean,PG-13,3.02
63,Space project by,Sci-Fi,1983,71,Japanese,R,4.32
64,Later head,Action,1980,102,Korean,PG,3.55
65,Step range director,Sci-Fi,1990,154,French,NC-17,3.82
66,Suffer son chair,Action,1987,69,Japanese,PG,3.18
67,Cold door,Romance,2017,130,Hindi,R,1.51
68,Become reflect security,Sci-Fi,2003,175,Korean,G,4.6
69,Many PM,Horror,2023,91,Japanese,G,2.41
70,Organization amount another,Thriller,2019,155,Hindi,PG,4.46
71,Maintain public pressure,Comedy,2006,63,Hindi,PG-13,4.13
72,Drive than,Thriller,2022,170,Japanese,PG,2.07
73,Believe,Drama,2004,171,English,R,1.89
74,Skin difficult,Documentary,2002,99,Korean,PG,1.89
75,Sign benefit,Horror,2005,102,Spanish,G,4.87
76,Down night relationship,Sci-Fi,2002,142,German,R,3.72
77,Laugh the,Romance,1981,74,Spanish,PG,3.32
78,Person middle responsibility,Sci-Fi,1982,73,German,R,2.38
79,Something same soon,Romance,2007,137,German,G,2.54
80,Trip fear street prevent,Horror,1996,65,Japanese,R,1.01
81,Minute eat floor,Horror,2003,115,English,PG-13,3.49
82,Minute deep half,Drama,1999,124,Spanish,R,2.3
83,Page,Sci-Fi,2015,76,Hindi,R,3.66
84,Follow project customer difference,Thriller,2023,155,Hindi,NC-17,3.28
85,Over outside,Thriller,2015,166,English,PG-13,2.15
86,Option,Thriller,2017,137,Japanese,PG-13,2.86
87,Budget allow,Documentary,2023,87,German,R,4.17
88,Over will husband,Comedy,2022,70,Spanish,NC-17,3.66
89,Particular project,Romance,1985,164,Korean,PG,3.69
90,Certainly technology share,Horror,1992,78,English,G,1.98
91,State practice report,Documentary,2019,168,Korean,G,2.82
92,Natural animal,Horror,2024,109,French,R,1.98
93,Strategy Mrs those her,Action,1986,159,French,PG,1.7
94,Should born town,Documentary,1983,131,Hindi,G,2.83
95,Speech,Documentary,2022,127,German,NC-17,2.27
96,Air college security,Documentary,2019,164,Japanese,NC-17,2.71
97,Crime large,Documentary,1990,155,Korean,R,2.8
98,Chance campaign,Horror,2020,95,Korean,NC-17,2.94
99,Activity rather,Horror,1997,116,English,PG-13,1.94
100,Treatment baby wonder,Romance,2000,174,German,G,1.55
101,Like picture,Horror,2004,148,Hindi,PG,1.26
102,Compare help each,Thriller,2001,129,French,R,1.25
103,Right apply under girl,Thriller,2004,175,Korean,NC-17,4.78
104,Deep back,Action,2016,108,French,G,4.77
105,Any add cup,Sci-Fi,2004,169,Korean,R,3.15
106,Course who white,Horror,2011,88,Spanish,R,2.94
107,Much available,Thriller,2001,145,Japanese,R,3.9
108,Across reach,Documentary,1988,139,German,G,4.63
109,Position where level,Action,1985,142,French,PG,4.47
110,Hold mouth enter,Comedy,1983,93,French,PG-13,1.85
111,Certainly operation,Romance,2001,157,French,PG-13,4.01
112,Better score cover,Thriller,1996,166,English,R,1.08
113,Cost plant ask,Action,2002,88,Japanese,G,4.12
114,Property research avoid,Action,1981,91,Hindi,G,3.49
