log_id,user_id,movie_id,device_id,watch_date,watch_duration,watch_time_slot,liked,rating_given,completed
1,6563,1464,2984,2024-11-28,57,Afternoon,No,1,False
2,19479,1074,315,2024-09-23,18,Afternoon,No,5,False
3,5274,1792,2340,2025-04-03,175,Evening,Yes,3,True
4,7934,882,2097,2024-08-21,146,Night,Yes,1,True
5,10395,868,2541,2024-04-03,168,Night,Yes,3,True
6,25302,471,2008,2024-11-10,174,Evening,Yes,5,True
7,36858,287,2975,2024-01-21,11,Night,No,1,False
8,9727,375,2847,2024-04-25,31,Night,Yes,4,False
9,10606,1339,283,2025-05-01,14,Night,Yes,4,False
10,34880,1793,227,2023-09-02,167,Night,No,4,True
11,31390,116,355,2024-08-15,79,Night,Yes,2,False
12,39370,1009,132,2024-04-04,114,Afternoon,Yes,3,False
13,7112,1313,969,2024-09-14,82,Afternoon,Yes,4,False
14,34134,1728,629,2024-10-15,131,Morning,Yes,2,True
15,14031,1844,1085,2025-05-17,106,Afternoon,Yes,1,False
16,26394,1970,2631,2024-10-11,22,Afternoon,Yes,2,False
17,18637,343,1959,2023-12-27,19,Morning,No,4,False
18,17646,1077,1503,2025-04-27,73,Morning,Yes,2,False
19,10315,1116,330,2024-06-29,134,Morning,No,1,True
20,2453,493,2227,2024-08-26,131,Night,Yes,3,True
21,5846,1999,32,2024-09-05,29,Evening,Yes,4,False
22,13752,1634,425,2024-12-27,157,Evening,Yes,4,True
23,24889,1671,2124,2024-10-29,149,Evening,No,4,False
24,33780,1341,2855,2024-04-17,111,Evening,No,3,True
25,1266,175,2375,2023-11-19,122,Night,Yes,3,True
26,31037,249,23,2023-11-06,164,Night,No,4,True
27,33810,1252,1386,2023-07-15,90,Night,Yes,4,False
28,15490,906,55,2023-09-08,66,Afternoon,No,4,False
29,25620,1423,1435,2023-06-25,110,Evening,Yes,2,True
30,39868,1071,1994,2025-01-14,112,Evening,No,5,False
31,24017,369,613,2024-12-11,69,Night,Yes,1,True
32,32512,1842,2267,2024-09-06,77,Afternoon,No,5,True
33,2285,1260,876,2024-02-28,48,Night,No,5,False
34,30237,1896,2521,2025-04-13,124,Morning,No,5,True
35,9405,1465,1405,2025-04-23,82,Evening,No,2,False
36,9218,710,828,2024-11-19,179,Afternoon,No,1,True
37,15384,477,2181,2024-02-10,99,Night,Yes,1,False
38,19087,1221,2333,2023-10-03,115,Afternoon,No,3,False
39,3719,1141,1977,2023-11-08,24,Night,Yes,2,False
40,25555,551,2785,2023-11-26,63,Morning,No,2,False
41,3110,1164,2489,2024-02-01,139,Morning,No,2,True
42,32191,124,1519,2025-04-29,41,Evening,No,5,False
43,19878,1713,2897,2025-04-25,55,Night,Yes,4,False
44,20736,723,554,2024-01-05,78,Evening,Yes,3,False
45,138,1266,322,2023-09-18,17,Morning,No,5,False
46,25433,1024,814,2025-01-10,25,Morning,Yes,4,False
47,18475,1550,2456,2024-09-21,99,Afternoon,No,4,False
48,3130,81,2957,2024-02-27,21,Evening,Yes,4,False
49,36409,1574,1771,2025-01-28,75,Evening,No,1,False
50,27174,68,1869,2025-03-19,180,Afternoon,No,1,True
51,22281,820,1854,2025-02-07,136,Morning,Yes,4,True
52,13059,1179,2405,2024-07-28,33,Evening,No,5,False
53,37610,1367,957,2025-03-18,133,Morning,Yes,3,True
54,23803,1591,2907,2023-06-24,71,Evening,Yes,2,False
55,34774,1920,489,2023-11-22,152,Morning,Yes,5,True
56,17790,1174,287,2025-03-19,90,Afternoon,Yes,5,True
57,792,334,172,2023-11-09,168,Morning,No,2,True
58,8423,1285,2521,2025-03-13,30,Afternoon,Yes,2,False
59,3900,7,844,2023-09-18,5,Afternoon,No,3,False
60,12523,1490,680,2023-09-25,148,Night,No,2,False
61,39360,1565,782,2024-07-01,30,Afternoon,No,1,False
62,6244,1283,1150,2023-08-20,147,Afternoon,Yes,1,False
63,16230,1661,2273,2024-03-18,116,Evening,Yes,3,False
64,1255,1063,947,2024-02-24,170,Afternoon,Yes,3,True
65,39570,1525,2750,2023-12-17,140,Evening,No,4,True
66,6503,662,355,2024-02-26,146,Night,Yes,2,True
67,31164,85,2283,2024-10-01,137,Night,Yes,1,False
68,12110,1430,1938,2025-05-13,93,Morning,No,2,True
69,13740,1471,1675,2024-07-31,20,Night,Yes,2,False
70,27006,1666,569,2024-01-25,158,Night,No,5,True
71,39615,859,1355,2023-12-27,159,Morning,No,3,True
72,30668,282,1760,2025-01-23,115,Afternoon,No,3,False
73,26116,972,2070,2024-01-18,9,Afternoon,Yes,1,False
74,6997,805,2558,2025-04-10,180,Morning,No,4,True
75,38302,560,363,2023-12-20,12,Night,No,5,False
76,33395,1599,1029,2024-08-01,58,Afternoon,No,2,False
77,35758,1817,974,2024-05-08,52,Afternoon,Yes,2,False
78,232,30,1005,2024-11-19,120,Night,No,1,True
79,12743,1089,2881,2023-07-17,84,Afternoon,Yes,4,False
80,16288,1801,2676,2023-08-15,176,Night,No,3,True
81,6097,237,1191,2025-06-14,55,Night,No,4,False
82,24717,1899,1429,2024-11-07,30,Evening,No,5,False
83,21049,1683,2774,2025-06-02,96,Afternoon,Yes,1,False
84,27972,1934,578,2024-05-08,11,Evening,No,4,False
85,9089,772,1781,2025-04-05,27,Night,No,3,False
86,916,1986,2076,2023-10-16,169,Evening,Yes,3,True
87,29338,907,348,2023-07-20,95,Night,No,4,False
88,36765,1330,2576,2024-12-22,150,Evening,No,1,True
89,6915,1290,2231,2024-12-26,122,Evening,Yes,4,True
90,1268,233,2589,2023-12-29,160,Afternoon,No,2,True
91,21686,1655,560,2023-06-22,169,Afternoon,Yes,3,True
92,10442,733,1337,2024-09-16,167,Morning,Yes,5,True
93,30129,288,1705,2024-01-29,107,Night,No,3,True
94,31366,507,1347,2024-07-31,141,Evening,No,2,True
95,221,1546,366,2023-12-07,152,Morning,Yes,4,True
96,14025,474,397,2023-12-20,109,Night,No,4,False
97,32503,1301,2943,2024-02-03,5,Night,No,5,False
98,12880,795,2994,2024-09-09,103,Night,No,4,True
99,22877,237,2428,2024-09-23,47,Afternoon,Yes,1,False
100,23789,954,1279,2023-09-28,141,Afternoon,No,2,False
101,34015,1867,2621,2024-06-18,157,Afternoon,No,5,True
102,8587,1151,2575,2024-12-01,30,Morning,No,2,False
103,36895,344,804,2023-08-04,76,Evening,Yes,4,True
104,4729,179,2075,2024-01-29,123,Evening,Yes,4,True
105,16393,1576,1112,2023-09-26,46,Morning,No,3,False
106,5890,1955,2845,2025-05-05,108,Night,No,4,False
107,1859,1418,2235,2024-04-20,18,Morning,Yes,3,False
108,39468,821,662,2024-01-18,99,Morning,Yes,4,False
109,19205,901,436,2024-02-13,92,Morning,No,3,True
110,17571,161,255,2024-10-15,178,Night,Yes,2,True
111,23366,1283,1194,2025-02-23,173,Afternoon,Yes,4,True
112,32281,254,1559,2025-02-24,94,Evening,No,4,True
113,8,547,2168,2024-05-08,110,Afternoon,No,3,False
114,12262,133,438,2025-04-25,81,Afternoon,Yes,3,False
115,38706,1420,1254,2025-02-08,22,Afternoon,Yes,1,False
116,17461,1675,1898,2024-07-17,66,Evening,No,1,True
117,13119,819,1799,2024-02-13,111,Evening,No,3,True
118,16339,631,617,2024-09-11,134,Morning,Yes,2,True
119,30166,240,1240,2023-08-29,106,Night,No,4,False
120,21262,1093,2077,2024-12-24,34,Morning,Yes,2,False
121,32122,151,2945,2024-06-18,151,Afternoon,No,3,True
122,11626,1833,1661,2025-04-23,67,Morning,Yes,4,False
123,3665,828,2694,2025-06-09,173,Evening,No,4,True
124,6205,209,327,2024-01-20,101,Night,Yes,2,False
125,24874,4,1756,2023-07-26,39,Morning,Yes,4,False
126,25569,940,2012,2023-10-20,133,Morning,Yes,3,True
127,14606,1991,2699,2023-11-04,36,Afternoon,No,3,False
128,19370,1948,1120,2025-05-15,35,Night,Yes,2,False
129,36676,1763,2212,2024-02-13,28,Night,No,5,False
130,28234,107,1389,2023-06-22,80,Afternoon,No,4,False
131,3896,1360,1261,2025-03-27,89,Evening,Yes,5,False
132,25103,1726,1201,2023-07-02,40,Afternoon,Yes,4,False
133,36231,1324,1322,2024-01-31,68,Evening,No,3,True
134,34350,745,2856,2024-09-06,54,Evening,Yes,3,False
135,11371,615,2270,2024-06-11,24,Night,Yes,3,False
136,8162,1032,2153,2024-05-02,73,Afternoon,Yes,1,False
137,26438,207,1826,2024-03-29,110,Morning,No,2,True
138,12606,764,34,2023-11-07,136,Afternoon,Yes,1,True
139,9029,584,1532,2025-03-05,51,Night,No,3,False
140,16964,1670,1254,2024-09-25,42,Morning,No,4,False
141,32742,80,1698,2023-10-06,44,Evening,No,3,False
142,6560,557,1739,2025-03-31,129,Afternoon,No,4,False
143,35776,1772,1623,2023-11-03,117,Morning,No,5,False
144,25309,465,1493,2025-01-23,109,Afternoon,Yes,1,False
145,495,535,721,2025-04-22,63,Evening,Yes,2,False
146,3040,830,2655,2024-04-14,49,Night,No,5,False
147,24439,920,2162,2025-03-18,46,Morning,Yes,4,False
148,6096,185,1019,2025-01-23,72,Afternoon,No,2,True
149,4935,1844,846,2024-06-07,111,Afternoon,Yes,5,False
150,10987,1063,1710,2025-02-06,8,Evening,No,5,False
151,30502,1506,521,2023-12-22,45,Afternoon,No,4,False
152,32743,323,1542,2024-04-21,60,Evening,Yes,4,False
153,31872,1656,1544,2023-07-23,83,Morning,No,5,True
154,28173,1292,2333,2023-11-22,99,Evening,No,1,False
155,19066,814,879,2024-12-08,136,Evening,Yes,1,True
156,29442,723,1831,2025-04-09,138,Morning,No,2,True
157,5226,980,2255,2025-04-17,160,Night,Yes,3,True
158,28246,409,2359,2025-01-25,47,Evening,Yes,5,False
159,4234,1455,906,2024-04-19,137,Night,No,1,True
160,6642,1486,1625,2023-09-22,97,Night,Yes,5,False
161,2870,1611,1402,2023-12-01,36,Morning,No,5,False
162,4898,1741,901,2024-10-25,35,Afternoon,No,4,False
163,28377,1589,295,2025-03-05,47,Night,No,3,False
164,16263,840,542,2024-01-09,6,Afternoon,No,2,False
165,23408,1629,1748,2023-12-22,89,Evening,Yes,2,False
